Date,provincename,Construction,Transportation,Agriculture,Population,Station Name,Max Temp (°C),Total Snow (cm),Total Precip (mm),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Longitude (x),Latitude (y)
2006-02-01,British Columbia,1.007978566,3.018903695,12.24154901,1779,Burns Lake,5.7,0.909090909,2.8,-5.5,0.1,17.9,0,-125.96,54.38
2006-03-01,British Columbia,1.015632301,2.895247884,12.00978846,1779,Burns Lake,-2.5,1.472727273,0,-20.9,-11.7,29.7,0,-125.96,54.38
2006-04-01,British Columbia,0.989755441,2.970438572,13.73101125,1779,Burns Lake,10.6,1.454545455,2.4,-0.7,5,13,0,-125.96,54.38
2006-05-01,British Columbia,0.99978494,2.827759651,13.47845619,1779,Burns Lake,9.4,1.472727273,0,-5.6,1.9,16.1,0,-125.96,54.38
2006-06-01,British Columbia,1.022350512,2.883539772,13.2267791,1779,Burns Lake,20.6,1.6,2.6,9.4,15,3,0,-125.96,54.38
2006-07-01,British Columbia,0.996902311,2.722379775,12.9632667,1779,Burns Lake,28.9,1.632727273,0,0.7,14.8,3.2,0,-125.96,54.38
2006-08-01,British Columbia,1.064678562,2.753350279,13.66798113,1779,Burns Lake,15.8,1.504242424,7,4.4,10.1,7.9,0,-125.96,54.38
2006-09-01,British Columbia,1.063087964,2.776022992,15.97104139,1779,Burns Lake,24.7,1.631515152,0,-1.3,11.7,6.3,0,-125.96,54.38
2006-10-01,British Columbia,1.065881375,2.690129479,16.28184699,1779,Burns Lake,10,1.534112554,0.2,-5.4,2.3,15.7,0,-125.96,54.38
2006-11-01,British Columbia,1.132740546,2.752984843,16.33017358,1779,Burns Lake,-0.9,1.664182484,1.4,-7.4,-4.2,22.2,0,-125.96,54.38
2006-12-01,British Columbia,1.068462337,2.768992212,14.16331866,1779,Burns Lake,-14.5,1.936909757,1.56,-25.4,-20,38,0,-125.96,54.38
2007-01-01,British Columbia,1.045397194,2.79943833,13.34789253,1779,Burns Lake,6.4,1.936909757,1.386666667,-3.7,1.4,16.6,0,-125.96,54.38
2007-02-01,British Columbia,1.020896177,2.914590437,13.4384741,1779,Burns Lake,-2.1,1.373273393,1.4,-21.7,-11.9,29.9,0,-125.96,54.38
2007-03-01,British Columbia,1.050230893,2.975517358,12.69623522,1779,Burns Lake,-2.3,1.427818848,1.328571429,-27,-14.7,32.7,0,-125.96,54.38
2007-04-01,British Columbia,1.076368941,2.766455056,12.13467376,1779,Burns Lake,-1.2,1.40963703,1.430769231,-11.3,-6.3,24.3,0,-125.96,54.38
2007-05-01,British Columbia,1.082412384,2.826967943,12.94989153,1779,Burns Lake,12.1,1.300546121,5.6,-5.2,3.5,14.5,0,-125.96,54.38
2007-06-01,British Columbia,1.094882114,2.736602633,12.73798228,1779,Burns Lake,24.7,1.176909757,0,3.1,13.9,4.1,0,-125.96,54.38
2007-07-01,British Columbia,1.144241459,2.830121298,12.57987146,1779,Burns Lake,19.6,1.102597403,0.8,-0.4,9.6,8.4,0,-125.96,54.38
2007-08-01,British Columbia,1.124011703,2.864074334,12.26245655,1779,Burns Lake,24.6,1.025974026,0.6,1.5,13.1,4.9,0,-125.96,54.38
2007-09-01,British Columbia,1.113222748,2.835286271,11.97942228,1779,Burns Lake,17.4,0.96034632,0,0.9,9.2,8.8,0,-125.96,54.38
2007-10-01,British Columbia,1.08221293,2.798223361,13.50928167,1779,Burns Lake,10.2,0.881980936,0.2,0.4,5.3,12.7,0,-125.96,54.38
2007-11-01,British Columbia,1.198493744,2.926426413,11.60037241,1779,Burns Lake,5.5,0.372890027,0.2,-7.1,-0.8,18.8,0,-125.96,54.38
2007-12-01,British Columbia,1.157837766,2.92584609,12.67491039,1779,Burns Lake,-11.9,0.372890027,0.569230769,-24.3,-18.1,36.1,0,-125.96,54.38
2008-01-01,British Columbia,1.183007913,2.826302127,13.18251765,1779,Burns Lake,-4,0.300162754,0.557142857,-17.6,-10.8,28.8,0,-125.96,54.38
2008-02-01,British Columbia,1.165533895,2.70764794,13.43249805,1779,Burns Lake,-11.4,0.245617299,0.606666667,-28.6,-20,38,0,-125.96,54.38
2008-03-01,British Columbia,1.153690934,2.635769476,14.09960584,1779,Burns Lake,5.3,0.245617299,0.56875,-6.1,-0.4,18.4,0,-125.96,54.38
2008-04-01,British Columbia,1.087734234,2.970120912,13.30353612,1779,Burns Lake,5.4,0.227435481,0,-9.5,-2.1,20.1,0,-125.96,54.38
